,pronation_winkel,laufstiel_winkel
0,,41.14756302788276
1,,47.79104464562252
2,,19.798876354524932
3,,4.351814211911972
4,,0.6348303033748549
5,,8.414681700306595
6,,14.036243467926479
7,,54.97264027135625
8,,51.390837137515476
9,,14.036243467926479
10,,17.41142476046838
11,,19.303863443653665
12,,5.207302297233845
13,,9.574869988906373
14,,20.02894968475244
15,,4.4122280782547305
16,,24.870466352530816
17,,14.59075564631726
18,,21.907110302303103
19,,12.097440782928922
20,,15.08824349000936
21,,2.600466807606868
22,,52.245799461979004
23,,1.9201272583621856
24,,49.96041068756208
25,,23.962488974578186
26,,19.303863443653665
27,,45.0
28,,57.12582259197911
29,,49.85576390116763
30,,41.73217390164672
31,,0.26879038838924757
32,,10.282366686806393
33,,5.083107171331516
34,,16.088025635866593
35,,57.14857584411509
36,,0.063661951038433
37,,7.323253484628305
38,,0.3190865848125091
39,,0.19254967886447133
40,,4.48281948029719
41,,61.204900326508714
42,,3.116360145750231
43,,41.6689688019506
44,,8.216714798503235
45,,0.046772054519179526
46,,57.646311976465306
47,,8.344230133537124
48,,6.135619174845042
49,,0.6253913344001064
50,,56.92471443945726
